No	Abbreviated Journal Title	Full Journal Title	ISSN	SUBJECT
4786	NAT HIST	NATURAL HISTORY	0028-0712	ECOLOGY; BIODIVERSITY CONSERVATION
4787	NAT IMMUNOL	NATURE IMMUNOLOGY	1529-2908	IMMUNOLOGY
4788	NAT MATER	NATURE MATERIALS	1476-1122	PHYSICS, APPLIED; MATERIALS SCIENCE, MULTIDISCIPLINARY; CHEMISTRY, PHYSICAL; PHYSICS, CONDENSED MATTER
4789	NAT MED	NATURE MEDICINE	1078-8956	MEDICINE, RESEARCH & EXPERIMENTAL; BIOCHEMISTRY & MOLECULAR BIOLOGY; CELL BIOLOGY
4790	NAT METHODS	NATURE METHODS	1548-7091	BIOCHEMICAL RESEARCH METHODS
4791	NAT NANOTECHNOL	NATURE NANOTECHNOLOGY	1748-3387	MATERIALS SCIENCE, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY
4792	NAT NEUROSCI	NATURE NEUROSCIENCE	1097-6256	NEUROSCIENCES
4793	NAT PHOTONICS	NATURE PHOTONICS	1749-4885	OPTICS; PHYSICS, APPLIED
4794	NAT PHYS	NATURE PHYSICS	1745-2473	PHYSICS, MULTIDISCIPLINARY
4795	NAT PROD REP	NATURAL PRODUCT REPORTS	0265-0568	CHEMISTRY, ORGANIC; CHEMISTRY, MEDICINAL; BIOCHEMISTRY & MOLECULAR BIOLOGY
4796	NAT PROTOC	NATURE PROTOCOLS	1754-2189	BIOCHEMICAL RESEARCH METHODS
4797	NAT RESOUR FORUM	NATURAL RESOURCES FORUM	0165-0203	ENVIRONMENTAL SCIENCES
4798	NAT REV CANCER	NATURE REVIEWS CANCER	1474-175X	ONCOLOGY
4799	NAT REV CARDIOL	NATURE REVIEWS CARDIOLOGY	1759-5002	CARDIAC & CARDIOVASCULAR SYSTEMS
4800	NAT REV CLIN ONCOL	NATURE REVIEWS CLINICAL ONCOLOGY	1759-4774	ONCOLOGY
4801	NAT REV DRUG DISCOV	NATURE REVIEWS DRUG DISCOVERY	1474-1776	BIOTECHNOLOGY & APPLIED MICROBIOLOGY; PHARMACOLOGY & PHARMACY
4802	NAT REV ENDOCRINOL	NATURE REVIEWS ENDOCRINOLOGY	1759-5029	ENDOCRINOLOGY & METABOLISM
4803	NAT REV GASTRO HEPAT	NATURE REVIEWS GASTROENTEROLOGY & HEPATOLOGY	1759-5045	GASTROENTEROLOGY & HEPATOLOGY
4804	NAT REV GENET	NATURE REVIEWS GENETICS	1471-0056	GENETICS & HEREDITY
4805	NAT REV IMMUNOL	NATURE REVIEWS IMMUNOLOGY	1474-1733	IMMUNOLOGY
4806	NAT REV MICROBIOL	NATURE REVIEWS MICROBIOLOGY	1740-1526	MICROBIOLOGY
4807	NAT REV MOL CELL BIO	NATURE REVIEWS MOLECULAR CELL BIOLOGY	1471-0072	CELL BIOLOGY
4808	NAT REV NEPHROL	NATURE REVIEWS NEPHROLOGY	1759-5061	UROLOGY & NEPHROLOGY
4809	NAT REV NEUROL	NATURE REVIEWS NEUROLOGY	1759-4758	CLINICAL NEUROLOGY
4810	NAT REV NEUROSCI	NATURE REVIEWS NEUROSCIENCE	1471-003X	NEUROSCIENCES
4811	NAT REV RHEUMATOL	NATURE REVIEWS RHEUMATOLOGY	1759-4790	RHEUMATOLOGY
4812	NAT REV UROL	NATURE REVIEWS UROLOGY	1759-4812	UROLOGY & NEPHROLOGY
4813	NAT STRUCT MOL BIOL	NATURE STRUCTURAL & MOLECULAR BIOLOGY	1545-9993	CELL BIOLOGY; BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOPHYSICS
4814	NATL MED J INDIA	NATIONAL MEDICAL JOURNAL OF INDIA	0970-258X	MEDICINE, GENERAL & INTERNAL
4815	NATL SCI REV	NATIONAL SCIENCE REVIEW	2095-5138	MULTIDISCIPLINARY SCIENCES
4816	NATURE	NATURE	0028-0836	MULTIDISCIPLINARY SCIENCES
4817	NATURWISSENSCHAFTEN	NATURWISSENSCHAFTEN	0028-1042	MULTIDISCIPLINARY SCIENCES
4818	NAV RES LOG	NAVAL RESEARCH LOGISTICS	0894-069X	OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4819	NDT&E INT	NDT & E INTERNATIONAL	0963-8695	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
4820	NEAR SURF GEOPHYS	NEAR SURFACE GEOPHYSICS	1569-4445	GEOCHEMISTRY & GEOPHYSICS
4821	NEMATOLOGY	NEMATOLOGY	1388-5545	ZOOLOGY
4822	NEONATOLOGY	NEONATOLOGY	1661-7800	PEDIATRICS
4823	NEOPLASIA	NEOPLASIA	1476-5586	ONCOLOGY
4824	NEOPLASMA	NEOPLASMA	0028-2685	ONCOLOGY
4825	NEOTROP ENTOMOL	NEOTROPICAL ENTOMOLOGY	1519-566X	ENTOMOLOGY
4826	NEOTROP ICHTHYOL	NEOTROPICAL ICHTHYOLOGY	1679-6225	ZOOLOGY
4827	NEPHROL DIAL TRANSPL	NEPHROLOGY DIALYSIS TRANSPLANTATION	0931-0509	TRANSPLANTATION; UROLOGY & NEPHROLOGY
4828	NEPHROLOGY	NEPHROLOGY	1320-5358	UROLOGY & NEPHROLOGY
4829	NEPHRON CLIN PRACT	NEPHRON CLINICAL PRACTICE	1660-2110	UROLOGY & NEPHROLOGY
4830	NEPHRON EXP NEPHROL	NEPHRON EXPERIMENTAL NEPHROLOGY	1660-2129	UROLOGY & NEPHROLOGY
4831	NEPHRON PHYSIOL	NEPHRON PHYSIOLOGY	1660-2137	UROLOGY & NEPHROLOGY
4832	NERVENARZT	NERVENARZT	0028-2804	PSYCHIATRY; CLINICAL NEUROLOGY
4833	NETH HEART J	NETHERLANDS HEART JOURNAL	1568-5888	CARDIAC & CARDIOVASCULAR SYSTEMS
4834	NETH J MED	NETHERLANDS JOURNAL OF MEDICINE	0300-2977	MEDICINE, GENERAL & INTERNAL
4835	NETW SPAT ECON	NETWORKS & SPATIAL ECONOMICS	1566-113X	TRANSPORTATION SCIENCE & TECHNOLOGY; OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4836	NETWORK-COMP NEURAL	NETWORK-COMPUTATION IN NEURAL SYSTEMS	0954-898X	ENGINEERING, ELECTRICAL & ELECTRONIC; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE; NEUROSCIENCES
4837	NETWORKS	NETWORKS	0028-3045	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE; OPERATIONS RESEARCH & MANAGEMENT SCIENCE
4838	NEUES JB MINER ABH	NEUES JAHRBUCH FUR MINERALOGIE-ABHANDLUNGEN	0077-7757	MINERALOGY
4839	NEURAL COMPUT	NEURAL COMPUTATION	0899-7667	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE; NEUROSCIENCES
4840	NEURAL COMPUT APPL	NEURAL COMPUTING & APPLICATIONS	0941-0643	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
4841	NEURAL DEV	NEURAL DEVELOPMENT	1749-8104	DEVELOPMENTAL BIOLOGY; NEUROSCIENCES
4842	NEURAL NETWORKS	NEURAL NETWORKS	0893-6080	NEUROSCIENCES; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
4843	NEURAL PLAST	NEURAL PLASTICITY	2090-5904	NEUROSCIENCES
4844	NEURAL PROCESS LETT	NEURAL PROCESSING LETTERS	1370-4621	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
4845	NEUROBIOL AGING	NEUROBIOLOGY OF AGING	0197-4580	GERIATRICS & GERONTOLOGY; NEUROSCIENCES
4846	NEUROBIOL DIS	NEUROBIOLOGY OF DISEASE	0969-9961	NEUROSCIENCES
4847	NEUROBIOL LEARN MEM	NEUROBIOLOGY OF LEARNING AND MEMORY	1074-7427	PSYCHOLOGY; NEUROSCIENCES; BEHAVIORAL SCIENCES
4848	NEUROCHEM INT	NEUROCHEMISTRY INTERNATIONAL	0197-0186	BIOCHEMISTRY & MOLECULAR BIOLOGY; NEUROSCIENCES
4849	NEUROCHEM RES	NEUROCHEMICAL RESEARCH	0364-3190	BIOCHEMISTRY & MOLECULAR BIOLOGY; NEUROSCIENCES
4850	NEUROCOMPUTING	NEUROCOMPUTING	0925-2312	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
4851	NEUROCRIT CARE	NEUROCRITICAL CARE	1541-6933	CRITICAL CARE MEDICINE; CLINICAL NEUROLOGY
4852	NEURODEGENER DIS	NEURODEGENERATIVE DISEASES	1660-2854	CLINICAL NEUROLOGY ; NEUROSCIENCES
4853	NEUROENDOCRINOLOGY	NEUROENDOCRINOLOGY	0028-3835	NEUROSCIENCES; ENDOCRINOLOGY & METABOLISM
4854	NEUROEPIDEMIOLOGY	NEUROEPIDEMIOLOGY	0251-5350	CLINICAL NEUROLOGY ; PUBLIC, ENVIRONMENTAL & OCC
4855	NEUROETHICS-NETH	NEUROETHICS	1874-5490	MEDICAL ETHICS
4856	NEUROGASTROENT MOTIL	NEUROGASTROENTEROLOGY AND MOTILITY	1350-1925	NEUROSCIENCES; CLINICAL NEUROLOGY ; GASTROENTEROLOGY & HEPATOLOGY
4857	NEUROGENETICS	NEUROGENETICS	1364-6745	GENETICS & HEREDITY; CLINICAL NEUROLOGY
4858	NEUROIMAGE	NEUROIMAGE	1053-8119	NEUROIMAGING; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING; NEUROSCIENCES
4859	NEUROIMAGE-CLIN	NEUROIMAGE-CLINICAL	2213-1582	NEUROIMAGING
4860	NEUROIMMUNOMODULAT	NEUROIMMUNOMODULATION	1021-7401	NEUROSCIENCES; ENDOCRINOLOGY & METABOLISM; IMMUNOLOGY
4861	NEUROINFORMATICS	NEUROINFORMATICS	1539-2791	NEUROSCIENCES; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
4862	NEUROL SCI	NEUROLOGICAL SCIENCES	1590-1874	CLINICAL NEUROLOGY ; NEUROSCIENCES
4863	NEUROLOGY	NEUROLOGY	0028-3878	CLINICAL NEUROLOGY
4864	NEUROMODULATION	NEUROMODULATION	1094-7159	CLINICAL NEUROLOGY ; MEDICINE, RESEARCH & EXPERIMENTAL
4865	NEUROMOL MED	NEUROMOLECULAR MEDICINE	1535-1084	NEUROSCIENCES
4866	NEUROMUSCULAR DISORD	NEUROMUSCULAR DISORDERS	0960-8966	NEUROSCIENCES; CLINICAL NEUROLOGY
4867	NEURON	NEURON	0896-6273	NEUROSCIENCES
4868	NEURO-ONCOLOGY	NEURO-ONCOLOGY	1522-8517	CLINICAL NEUROLOGY ; ONCOLOGY
4869	NEUROPATH APPL NEURO	NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY	0305-1846	NEUROSCIENCES; CLINICAL NEUROLOGY ; PATHOLOGY
4870	NEUROPATHOLOGY	NEUROPATHOLOGY	0919-6544	PATHOLOGY
4871	NEUROPEDIATRICS	NEUROPEDIATRICS	0174-304X	PEDIATRICS; CLINICAL NEUROLOGY
4872	NEUROPEPTIDES	NEUROPEPTIDES	0143-4179	ENDOCRINOLOGY & METABOLISM; NEUROSCIENCES
4873	NEUROPHARMACOLOGY	NEUROPHARMACOLOGY	0028-3908	NEUROSCIENCES; PHARMACOLOGY & PHARMACY
4874	NEUROPHYSIOL CLIN	NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY	0987-7053	PHYSIOLOGY; CLINICAL NEUROLOGY
4875	NEUROPSYCH DIS TREAT	NEUROPSYCHIATRIC DISEASE AND TREATMENT	1178-2021	PSYCHIATRY; CLINICAL NEUROLOGY
4876	NEUROPSYCHOBIOLOGY	NEUROPSYCHOBIOLOGY	0302-282X	NEUROSCIENCES; PSYCHOLOGY; PSYCHIATRY
4877	NEUROPSYCHOL REHABIL	NEUROPSYCHOLOGICAL REHABILITATION	0960-2011	NEUROSCIENCES; PSYCHOLOGY
4878	NEUROPSYCHOL REV	NEUROPSYCHOLOGY REVIEW	1040-7308	NEUROSCIENCES
4879	NEUROPSYCHOLOGIA	NEUROPSYCHOLOGIA	0028-3932	BEHAVIORAL SCIENCES; NEUROSCIENCES
4880	NEUROPSYCHOLOGY	NEUROPSYCHOLOGY	0894-4105	NEUROSCIENCES; PSYCHOLOGY
4881	NEUROPSYCHOPHARMACOL	NEUROPSYCHOPHARMACOLOGY	0893-133X	PHARMACOLOGY & PHARMACY; NEUROSCIENCES; PSYCHIATRY
4882	NEURORADIOLOGY	NEURORADIOLOGY	0028-3940	NEUROIMAGING; CLINICAL NEUROLOGY ; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
4883	NEUROREHAB NEURAL RE	NEUROREHABILITATION AND NEURAL REPAIR	1545-9683	CLINICAL NEUROLOGY ; REHABILITATION
4884	NEUROREHABILITATION	NEUROREHABILITATION	1053-8135	REHABILITATION
4885	NEUROREPORT	NEUROREPORT	0959-4965	NEUROSCIENCES
4886	NEUROSCI BIOBEHAV R	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS	0149-7634	BEHAVIORAL SCIENCES; NEUROSCIENCES
4887	NEUROSCI LETT	NEUROSCIENCE LETTERS	0304-3940	NEUROSCIENCES
4888	NEUROSCI RES	NEUROSCIENCE RESEARCH	0168-0102	NEUROSCIENCES
4889	NEUROSCIENCE	NEUROSCIENCE	0306-4522	NEUROSCIENCES
4890	NEUROSCIENTIST	NEUROSCIENTIST	1073-8584	NEUROSCIENCES; CLINICAL NEUROLOGY
4891	NEUROSIGNALS	NEUROSIGNALS	1424-862X	BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOPHYSICS
4892	NEUROSURG CLIN N AM	NEUROSURGERY CLINICS OF NORTH AMERICA	1042-3680	SURGERY
4893	NEUROSURG FOCUS	NEUROSURGICAL FOCUS	1092-0684	CLINICAL NEUROLOGY ; SURGERY
4894	NEUROSURG REV	NEUROSURGICAL REVIEW	0344-5607	CLINICAL NEUROLOGY ; SURGERY
4895	NEUROSURGERY	NEUROSURGERY	0148-396X	SURGERY ; CLINICAL NEUROLOGY
4896	NEUROTHERAPEUTICS	NEUROTHERAPEUTICS	1933-7213	PHARMACOLOGY & PHARMACY; NEUROSCIENCES; CLINICAL NEUROLOGY
4897	NEUROTOX RES	NEUROTOXICITY RESEARCH	1029-8428	NEUROSCIENCES
4898	NEUROTOXICOL TERATOL	NEUROTOXICOLOGY AND TERATOLOGY	0892-0362	TOXICOLOGY; NEUROSCIENCES
4899	NEUROTOXICOLOGY	NEUROTOXICOLOGY	0161-813X	TOXICOLOGY; PHARMACOLOGY & PHARMACY; NEUROSCIENCES
4900	NEUROUROL URODYNAM	NEUROUROLOGY AND URODYNAMICS	0733-2467	UROLOGY & NEPHROLOGY
4901	NEW ASTRON	NEW ASTRONOMY	1384-1076	ASTRONOMY & ASTROPHYSICS
4902	NEW ASTRON REV	NEW ASTRONOMY REVIEWS	1387-6473	ASTRONOMY & ASTROPHYSICS
4903	NEW BIOTECHNOL	NEW BIOTECHNOLOGY	1871-6784	BIOCHEMICAL RESEARCH METHODS; BIOTECHNOLOGY & APPLIED MICROBIOLOGY
4904	NEW CARBON MATER	NEW CARBON MATERIALS	1007-8827	MATERIALS SCIENCE, MULTIDISCIPLINARY
4905	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE	0028-4793	MEDICINE, GENERAL & INTERNAL
4906	NEW FOREST	NEW FORESTS	0169-4286	FORESTRY
4907	NEW GENERAT COMPUT	NEW GENERATION COMPUTING	0288-3635	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE
4908	NEW J CHEM	NEW JOURNAL OF CHEMISTRY	1144-0546	CHEMISTRY, MULTIDISCIPLINARY
4909	NEW J PHYS	NEW JOURNAL OF PHYSICS	1367-2630	PHYSICS, MULTIDISCIPLINARY
4910	NEW PHYTOL	NEW PHYTOLOGIST	0028-646X	PLANT SCIENCES
4911	NEW SCI	NEW SCIENTIST	0262-4079	MULTIDISCIPLINARY SCIENCES
4912	NEW ZEAL J AGR RES	NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH	0028-8233	AGRICULTURE, MULTIDISCIPLINARY
4913	NEW ZEAL J BOT	NEW ZEALAND JOURNAL OF BOTANY	0028-825X	PLANT SCIENCES
4914	NEW ZEAL J CROP HORT	NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE	0114-0671	HORTICULTURE; AGRONOMY
4915	NEW ZEAL J ECOL	NEW ZEALAND JOURNAL OF ECOLOGY	0110-6465	ECOLOGY
4916	NEW ZEAL J GEOL GEOP	NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS	0028-8306	GEOSCIENCES, MULTIDISCIPLINARY; GEOLOGY
4917	NEW ZEAL J MAR FRESH	NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH	0028-8330	FISHERIES; OCEANOGRAPHY; MARINE & FRESHWATER BIOLOGY
4918	NEW ZEAL J ZOOL	NEW ZEALAND JOURNAL OF ZOOLOGY	0301-4223	ZOOLOGY
4919	NEW ZEAL VET J	NEW ZEALAND VETERINARY JOURNAL	0048-0169	VETERINARY SCIENCES
4920	NEWSL STRATIGR	NEWSLETTERS ON STRATIGRAPHY	0078-0421	GEOLOGY
4921	NICOTINE TOB RES	NICOTINE & TOBACCO RESEARCH	1462-2203	PUBLIC, ENVIRONMENTAL & OCC; SUBSTANCE ABUSE
4922	NIPPON SUISAN GAKK	NIPPON SUISAN GAKKAISHI	0021-5392	FISHERIES
4923	NITRIC OXIDE-BIOL CH	NITRIC OXIDE-BIOLOGY AND CHEMISTRY	1089-8603	CELL BIOLOGY; BIOCHEMISTRY & MOLECULAR BIOLOGY
4924	NJAS-WAGEN J LIFE SC	NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES	1573-5214	AGRICULTURE, MULTIDISCIPLINARY
4925	NMR BIOMED	NMR IN BIOMEDICINE	0952-3480	SPECTROSCOPY; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING; BIOPHYSICS
4926	NODEA-NONLINEAR DIFF	NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS	1021-9722	MATHEMATICS, APPLIED
4927	NOISE HEALTH	NOISE & HEALTH	1463-1741	AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY; PUBLIC, ENVIRONMENTAL & OCC
4928	NONDESTRUCT TEST EVA	NONDESTRUCTIVE TESTING AND EVALUATION	1058-9759	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
4929	NONLINEAR ANAL-HYBRI	NONLINEAR ANALYSIS-HYBRID SYSTEMS	1751-570X	MATHEMATICS, APPLIED; AUTOMATION & CONTROL SYSTEMS
4930	NONLINEAR ANAL-MODEL	NONLINEAR ANALYSIS-MODELLING AND CONTROL	1392-5113	MECHANICS; MATHEMATICS, APPLIED
4931	NONLINEAR ANAL-REAL	NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS	1468-1218	MATHEMATICS, APPLIED
4932	NONLINEAR ANAL-THEOR	NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS	0362-546X	MATHEMATICS; MATHEMATICS, APPLIED
4933	NONLINEAR DYNAM	NONLINEAR DYNAMICS	0924-090X	MECHANICS; ENGINEERING, MECHANICAL
4934	NONLINEAR PROC GEOPH	NONLINEAR PROCESSES IN GEOPHYSICS	1023-5809	GEOCHEMISTRY & GEOPHYSICS; METEOROLOGY & ATMOSPHERIC SCIENCES
4935	NONLINEARITY	NONLINEARITY	0951-7715	PHYSICS, MATHEMATICAL; MATHEMATICS, APPLIED
4936	NORD J BOT	NORDIC JOURNAL OF BOTANY	0107-055X	PLANT SCIENCES
4937	NORD PULP PAP RES J	NORDIC PULP & PAPER RESEARCH JOURNAL	0283-2631	MATERIALS SCIENCE, PAPER & WOOD
4938	NORW J GEOL	NORWEGIAN JOURNAL OF GEOLOGY	0029-196X	GEOSCIENCES, MULTIDISCIPLINARY
4939	NOTES REC	NOTES AND RECORDS-THE ROYAL SOCIETY JOURNAL OF THE HISTORY OF SCIENCE	0035-9149	HISTORY & PHILOSOPHY OF SCIENCE
4940	NOVA HEDWIGIA	NOVA HEDWIGIA	0029-5035	PLANT SCIENCES
4941	NPG ASIA MATER	NPG ASIA MATERIALS	1884-4049	MATERIALS SCIENCE, MULTIDISCIPLINARY
4942	N-S ARCH PHARMACOL	NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY	0028-1298	PHARMACOLOGY & PHARMACY
4943	NUCL DATA SHEETS	NUCLEAR DATA SHEETS	0090-3752	PHYSICS, NUCLEAR
4944	NUCL ENG DES	NUCLEAR ENGINEERING AND DESIGN	0029-5493	NUCLEAR SCIENCE & TECHNOLOGY
4945	NUCL ENG TECHNOL	NUCLEAR ENGINEERING AND TECHNOLOGY	1738-5733	NUCLEAR SCIENCE & TECHNOLOGY
4946	NUCL FUSION	NUCLEAR FUSION	0029-5515	PHYSICS, NUCLEAR; PHYSICS, FLUIDS & PLASMAS
4947	NUCL INSTRUM METH A	NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT	0168-9002	SPECTROSCOPY; PHYSICS, PARTICLES & FIELDS; INSTRUMENTS & INSTRUMENTATION; NUCLEAR SCIENCE & TECHNOLOGY
4948	NUCL INSTRUM METH B	NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS	0168-583X	INSTRUMENTS & INSTRUMENTATION; NUCLEAR SCIENCE & TECHNOLOGY; PHYSICS, NUCLEAR; PHYSICS, ATOMIC, MOLECULAR & CHEMICAL
4949	NUCL MED BIOL	NUCLEAR MEDICINE AND BIOLOGY	0969-8051	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
4950	NUCL PHYS A	NUCLEAR PHYSICS A	0375-9474	PHYSICS, NUCLEAR
4951	NUCL PHYS B	NUCLEAR PHYSICS B	0550-3213	PHYSICS, PARTICLES & FIELDS
4952	NUCL SCI ENG	NUCLEAR SCIENCE AND ENGINEERING	0029-5639	NUCLEAR SCIENCE & TECHNOLOGY
4953	NUCL TECHNOL	NUCLEAR TECHNOLOGY	0029-5450	NUCLEAR SCIENCE & TECHNOLOGY
4954	NUCLEIC ACID THER	NUCLEIC ACID THERAPEUTICS	2159-3337	MEDICINE, RESEARCH & EXPERIMENTAL; CHEMISTRY, MEDICINAL; BIOCHEMISTRY & MOLECULAR BIOLOGY
4955	NUCLEIC ACIDS RES	NUCLEIC ACIDS RESEARCH	0305-1048	BIOCHEMISTRY & MOLECULAR BIOLOGY
4956	NUKLEARMED-NUCL MED	NUKLEARMEDIZIN-NUCLEAR MEDICINE	0029-5566	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
4957	NUMER ALGORITHMS	NUMERICAL ALGORITHMS	1017-1398	MATHEMATICS, APPLIED
4958	NUMER HEAT TR A-APPL	NUMERICAL HEAT TRANSFER PART A-APPLICATIONS	1040-7782	MECHANICS; THERMODYNAMICS
4959	NUMER HEAT TR B-FUND	NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS	1040-7790	THERMODYNAMICS; MECHANICS
4960	NUMER LINEAR ALGEBR	NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS	1070-5325	MATHEMATICS, APPLIED; MATHEMATICS
4961	NUMER MATH	NUMERISCHE MATHEMATIK	0029-599X	MATHEMATICS, APPLIED
4962	NUMER MATH-THEORY ME	NUMERICAL MATHEMATICS-THEORY METHODS AND APPLICATIONS	1004-8979	MATHEMATICS; MATHEMATICS, APPLIED
4963	NUMER METH PART D E	NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS	0749-159X	MATHEMATICS, APPLIED
4964	NURS CRIT CARE	NURSING IN CRITICAL CARE	1362-1017	NURSING
4965	NURS ECON	NURSING ECONOMICS	0746-1739	NURSING
4966	NURS EDUC TODAY	NURSE EDUCATION TODAY	0260-6917	NURSING; EDUCATION, SCIENTIFIC DISCIPLINES
4967	NURS ETHICS	NURSING ETHICS	0969-7330	NURSING
4968	NURS HEALTH SCI	NURSING & HEALTH SCIENCES	1441-0745	NURSING
4969	NURS INQ	NURSING INQUIRY	1320-7881	NURSING
4970	NURS OUTLOOK	NURSING OUTLOOK	0029-6554	NURSING
4971	NURS RES	NURSING RESEARCH	0029-6562	NURSING
4972	NUTR CANCER	NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL	0163-5581	ONCOLOGY; NUTRITION & DIETETICS
4973	NUTR CLIN PRACT	NUTRITION IN CLINICAL PRACTICE	0884-5336	NUTRITION & DIETETICS
4974	NUTR CYCL AGROECOSYS	NUTRIENT CYCLING IN AGROECOSYSTEMS	1385-1314	SOIL SCIENCE
4975	NUTR DIABETES	NUTRITION & DIABETES	2044-4052	ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
4976	NUTR J	NUTRITION JOURNAL	1475-2891	NUTRITION & DIETETICS
4977	NUTR METAB	NUTRITION & METABOLISM	1743-7075	NUTRITION & DIETETICS
4978	NUTR METAB CARDIOVAS	NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES	0939-4753	NUTRITION & DIETETICS; ENDOCRINOLOGY & METABOLISM; CARDIAC & CARDIOVASCULAR SYSTEMS
4979	NUTR NEUROSCI	NUTRITIONAL NEUROSCIENCE	1028-415X	NUTRITION & DIETETICS; NEUROSCIENCES
4980	NUTR RES	NUTRITION RESEARCH	0271-5317	NUTRITION & DIETETICS
4981	NUTR RES REV	NUTRITION RESEARCH REVIEWS	0954-4224	NUTRITION & DIETETICS
4982	NUTR REV	NUTRITION REVIEWS	0029-6643	NUTRITION & DIETETICS
4983	NUTRIENTS	NUTRIENTS	2072-6643	NUTRITION & DIETETICS
4984	NUTRITION	NUTRITION	0899-9007	NUTRITION & DIETETICS
4985	NZ ENTOMOL	NEW ZEALAND ENTOMOLOGIST	0077-9962	ENTOMOLOGY
4986	OBES REV	OBESITY REVIEWS	1467-7881	ENDOCRINOLOGY & METABOLISM
4987	OBES SURG	OBESITY SURGERY	0960-8923	SURGERY
4988	OBESITY	OBESITY	1930-7381	ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
4989	OBESITY FACTS	OBESITY FACTS	1662-4025	ENDOCRINOLOGY & METABOLISM
4990	OBSTET GYN CLIN N AM	OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA	0889-8545	OBSTETRICS & GYNECOLOGY
4991	OBSTET GYNECOL	OBSTETRICS AND GYNECOLOGY	0029-7844	OBSTETRICS & GYNECOLOGY
4992	OBSTET GYNECOL SURV	OBSTETRICAL & GYNECOLOGICAL SURVEY	0029-7828	OBSTETRICS & GYNECOLOGY
4993	OCCUP ENVIRON MED	OCCUPATIONAL AND ENVIRONMENTAL MEDICINE	1351-0711	PUBLIC, ENVIRONMENTAL & OCC
4994	OCCUP MED-OXFORD	OCCUPATIONAL MEDICINE-OXFORD	0962-7480	PUBLIC, ENVIRONMENTAL & OCC
4995	OCEAN COAST MANAGE	OCEAN & COASTAL MANAGEMENT	0964-5691	WATER RESOURCES; OCEANOGRAPHY
4996	OCEAN DYNAM	OCEAN DYNAMICS	1616-7341	OCEANOGRAPHY
4997	OCEAN ENG	OCEAN ENGINEERING	0029-8018	ENGINEERING, OCEAN; OCEANOGRAPHY; ENGINEERING, MARINE; ENGINEERING, CIVIL
4998	OCEAN MODEL	OCEAN MODELLING	1463-5003	OCEANOGRAPHY; METEOROLOGY & ATMOSPHERIC SCIENCES
4999	OCEAN SCI	OCEAN SCIENCE	1812-0784	OCEANOGRAPHY; METEOROLOGY & ATMOSPHERIC SCIENCES
